config,holdout_workload,case_id,workload,stressor,label,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,tier0,0.009437446610779162,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.0022998420119187033,0.24369324741841653,0.005026564669656829,0.5326191370360326,0.0,0.0,0.0013150353197277393,0.1393422791102994,0.0007960046094758949,0.08434533643525174,tier0:uptime_s,0.0005839130446820192,tier0:mem_percent,0.0005811798772095409,tier0:mem_available_bytes,0.0005800567261643073,tier0:mem_free_bytes,0.0005077957187973569,tier0:cpu_times_idle_pct,0.0004943428699867868,memory_io,0.005026564669656829,compute,0.0022998420119187033,scheduler_runtime,0.0013150353197277393
tier0,ALL,BROWSER__BRANCH,BROWSER,BRANCH,1,tier0,0.023663783206257772,0.0,0.0,1.0,0.0,0.0,memory_io,0.003264745884532998,0.13796381821439488,0.013542015628117,0.5722675664361174,0.0,0.0,0.002911646622508872,0.1230423131048167,0.0039453750710989055,0.1667263022446711,tier0:uptime_s,0.002656062727777038,tier0:mem_percent,0.0016487013649472265,tier0:mem_available_bytes,0.0016435227066122276,tier0:mem_inactive_bytes,0.0015979431318999667,tier0:syscalls,0.001563708351937692,memory_io,0.013542015628117,platform_pressure,0.0039453750710989055,compute,0.003264745884532998
tier0,ALL,BROWSER__CACHE,BROWSER,CACHE,1,tier0,0.014112051880855117,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0034733409461713233,0.2461258628791873,0.0064515931628718,0.45716903660368824,0.0,0.0,0.0019098134495832654,0.13533208818302198,0.002277304322228728,0.1613730123341026,tier0:uptime_s,0.0017483011554308076,tier0:cpu_times_idle_pct,0.0006559373863859814,tier0:mem_available_bytes,0.0005576604988690036,tier0:mem_inactive_bytes,0.0005539632003718935,tier0:mem_percent,0.0005529629466573804,memory_io,0.0064515931628718,compute,0.0034733409461713233,platform_pressure,0.002277304322228728
tier0,ALL,BROWSER__MEMBW,BROWSER,MEMBW,1,tier0,0.017124786084333998,0.0,0.0,1.0,0.0,0.0,memory_io,0.0029190571243890616,0.17045801973897107,0.010984680116370701,0.6414491872934779,0.0,0.0,0.0019580622100245845,0.11434082740547914,0.001262986633549653,0.07375196556207213,tier0:net_sent_Pps,0.0019527976212569888,tier0:mem_inactive_bytes,0.0011231482082850735,tier0:syscalls,0.0010981495759167545,tier0:mem_percent,0.0010794081263631196,tier0:mem_available_bytes,0.001078500760058975,memory_io,0.010984680116370701,compute,0.0029190571243890616,scheduler_runtime,0.0019580622100245845
tier0,ALL,BROWSER__NOMINAL,BROWSER,NOMINAL,0,tier0,0.004949086646012193,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0018218542525362319,0.36811928803150396,0.001858577698106447,0.3755395350784627,0.0,0.0,0.0006329212068300208,0.12788646716056337,0.0006357334885394917,0.12845470972946987,tier0:cpu_times_idle_pct,0.0005779104147973749,tier0:net_sent_Bps,0.00022288640229922225,tier0:mem_free_bytes,0.00021908619288795117,tier0:net_sent_Pps,0.00021215407387860952,tier0:ctx_switches,0.000204834870865987,memory_io,0.001858577698106447,compute,0.0018218542525362319,platform_pressure,0.0006357334885394917
tier0,ALL,BROWSER__TLB,BROWSER,TLB,1,tier0,0.01582748364333015,0.0,0.0,1.0,0.0,0.0,memory_io,0.0028991768493917456,0.18317358050870494,0.009244335750567113,0.5840685707776905,0.0,0.0,0.0023880874902701076,0.15088232242631128,0.0012958835531011847,0.08187552628729344,tier0:uptime_s,0.0011117833390995979,tier0:mem_inactive_bytes,0.0009691262663955898,tier0:syscalls,0.0009618380936371111,tier0:mem_percent,0.000871788592763767,tier0:mem_available_bytes,0.000871150323934617,memory_io,0.009244335750567113,compute,0.0028991768493917456,scheduler_runtime,0.0023880874902701076
tier0,ALL,PY_AI__ATOMIC,PY_AI,ATOMIC,1,tier0,0.010542074583459418,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.002227997254779749,0.211343340169068,0.005711025018123942,0.5417363511243392,0.0,0.0,0.0017137814730114763,0.16256586494848088,0.000889270837544248,0.08435444375811187,tier0:mem_inactive_bytes,0.0008187637150152903,tier0:syscalls,0.0008013712225949565,tier0:mem_available_bytes,0.000662319994986199,tier0:mem_percent,0.0006617829084628619,tier0:cpu_times_idle_pct,0.000552514595434055,memory_io,0.005711025018123942,compute,0.002227997254779749,scheduler_runtime,0.0017137814730114763
tier0,ALL,PY_AI__BRANCH,PY_AI,BRANCH,1,tier0,0.016195294178837572,0.0,0.0,1.0,0.0,0.0,memory_io,0.0035522588310356326,0.21933895067354672,0.008714063199124477,0.5380614333335891,0.0,0.0,0.0018070317098794336,0.1115775786426088,0.002121940438798026,0.13102203735025514,tier0:uptime_s,0.0015539650094701938,tier0:swap_used_bytes,0.0007254709625708434,tier0:swap_percent,0.0007175704628238143,tier0:swap_free_bytes,0.0006903352602581446,tier0:swap_sin_bytes,0.0006530226086547792,memory_io,0.008714063199124477,compute,0.0035522588310356326,platform_pressure,0.002121940438798026
tier0,ALL,PY_AI__CACHE,PY_AI,CACHE,1,tier0,0.01075467745504257,0.0,0.0,0.9999999999999997,0.0,0.0,memory_io,0.0036099517034296653,0.33566340957413443,0.004237878017399627,0.39404975510563567,0.0,0.0,0.001032670910982332,0.09602063058600989,0.0018741768232309478,0.17426620473421986,tier0:uptime_s,0.0011945929776820644,tier0:cpu_times_idle_pct,0.0005313807012111774,tier0:cpu_times_user_pct,0.0004066751034403132,tier0:cpu_pct,0.0003744618346764614,tier0:net_sent_Pps,0.00031856157029601893,memory_io,0.004237878017399627,compute,0.0036099517034296653,platform_pressure,0.0018741768232309478
tier0,ALL,PY_AI__MEMBW,PY_AI,MEMBW,1,tier0,0.016865450346101818,0.0,0.0,1.0,0.0,0.0,memory_io,0.0033323237123844543,0.1975828480118035,0.009957111981201125,0.5903851825399109,0.0,0.0,0.001921098005986169,0.11390730556034043,0.0016549166465300686,0.09812466388794512,tier0:uptime_s,0.0012958270485495878,tier0:swap_percent,0.0008351776607027576,tier0:swap_used_bytes,0.0008204869850964386,tier0:swap_free_bytes,0.0008019010502473236,tier0:mem_available_bytes,0.0006933397177125995,memory_io,0.009957111981201125,compute,0.0033323237123844543,scheduler_runtime,0.001921098005986169
